year,date,province,match_type,confidence,local_evidence,title,url,lead
"2026","2026-06-15","Trà Vinh","direct_lead","high","title_or_lead","Trường Long Hòa phát huy lợi thế phát triển kinh tế biển","https://baovinhlong.com.vn/kinh-te/202606/truong-long-hoa-phat-huy-loi-the-phat-trien-kinh-te-bien-62d49fc/","Khai thác hiệu quả tiềm năng về du lịch, năng lượng tái tạo và nuôi trồng thủy sản công nghệ cao, phường Trường Long Hòa đang tập trung triển khai giải pháp trọng tâm nhằm cụ thể hóa mục tiêu phát triển kinh tế biển bền vững, gắn với bảo vệ môi trường và bản sắc văn hóa địa phương."
"2026","2026-06-14","Bến Tre","direct_title","high","title_or_lead","Khai mạc Tuần lễ Văn hóa, Du lịch, Ẩm thực bánh dân gian Nam Bộ - Vị ngon xứ dừa phường An Hội","https://baovinhlong.com.vn/kinh-te/thuong-mai-dich-vu/202606/khai-mac-tuan-le-van-hoa-du-lich-am-thuc-banh-dan-gian-nam-bo-vi-ngon-xu-dua-phuong-an-hoi-ce310af/","Tối 13/6, tại Công viên Bến Tre, UBND phường An Hội tổ chức khai mạc “Tuần lễ Văn hóa, Du lịch, Ẩm thực bánh dân gian Nam Bộ - Vị ngon xứ dừa phường An Hội” năm 2026."
"2026","2026-06-13","Vĩnh Long; Bến Tre","destination_event","medium","title_or_lead","Khai mạc Tuần lễ Văn hóa - Ẩm thực “Bến Tre Tết Đoan Ngọ xứ Dừa” năm 2026","https://baovinhlong.com.vn/nhip-song-dong-bang/202606/khai-mac-tuan-le-van-hoa-am-thuc-ben-tre-tet-doan-ngo-xu-dua-nam-2026-78c0d4f/","​​​​​​​Tối 12/6, tại Công viên Mỹ Hóa, UBND phường Bến Tre phối hợp với Hiệp hội Ẩm thực Xứ Dừa Bến Tre tổ chức khai mạc Tuần lễ Văn hóa - Ẩm thực “Bến Tre Tết Đoan Ngọ xứ Dừa” năm 2026."
"2026","2026-06-12","Vĩnh Long","tourism_category","high","title_or_lead","Khai trương Vietravel chi nhánh Vĩnh Long","https://baovinhlong.com.vn/xa-hoi/du-lich/202606/khai-truong-vietravel-chi-nhanh-vinh-long-9661c6a/","Ngày 12/6, tại phường Phước Hậu, Công ty CP Du lịch Vietravel tổ chức lễ khai trương chi nhánh Vĩnh Long."
"2026","2026-06-10","Trà Vinh","destination_event","medium","title_or_lead","Ngắm đàn cò trắng tạo hình sống động ở chùa Hang","https://baovinhlong.com.vn/phong-su-anh/202606/chum-anh-ngam-dan-co-trang-tao-hinh-song-dong-o-chua-hang-24a6cff/","Chùa Kompong Chrây hay còn gọi là chùa Hang tọa lạc tại xã Châu Thành (xã Đa Lộc, huyện Châu Thành trước đây) vốn được nhiều người biết đến là nơi lưu trú của rất nhiều loài chim, cò… với số lượng có thời điểm lên đến hàng chục ngàn con."
"2026","2026-06-01","Vĩnh Long","direct_lead","high","title_or_lead","Rộn ràng lễ hội Hạ Điền – Kỳ Yên","https://baovinhlong.com.vn/van-hoa-giai-tri/202606/ron-rang-le-hoi-ha-dien-ky-yen-40a25b5/","Từ ngày 31/5 đến 3/6, đình thần Mỹ Thuận (phường Cái Vồn) tổ chức Lễ hội Hạ Điền – Kỳ Yên. Lễ hội thể hiện nét sinh hoạt tín ngưỡng, giá trị truyền thống và bản sắc văn hóa; tạo không khí vui tươi từ đông đảo người dân địa phương và du khách đến tham dự."
"2026","2026-05-28","Vĩnh Long","tourism_category","high","content","Tạo nền tảng số phát triển văn hóa, thể thao và du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/tao-nen-tang-so-phat-trien-van-hoa-the-thao-va-du-lich-2cb4abd/","Phát triển khoa học, công nghệ, đổi mới sáng tạo và chuyển đổi số tạo động lực thúc đẩy ngành văn hóa-TT-DL bứt phá. Không gian di tích ảo, thư viện số, nền tảng du lịch thông minh… góp phần đưa văn hóa đến gần hơn với công chúng. Đồng thời, mở thêm cơ hội bảo tồn, quảng bá và phát huy giá trị di sản trong thời đại số."
"2026","2026-05-24","Bến Tre","tourism_category","high","title_or_lead","Liên kết khai thác tiềm năng, tạo đà phát triển du lịch","https://baovinhlong.com.vn/xa-hoi/du-lich/202605/lien-ket-khai-thac-tiem-nang-tao-da-phat-trien-du-lich-53f40ac/","Tại tọa đàm “Liên kết phát triển du lịch cộng đồng và du lịch sinh thái địa phương năm 2026” do UBND phường Bến Tre tổ chức, đại biểu đã trao đổi về tiềm năng, định hướng phát triển du lịch cộng đồng và du lịch sinh thái trên địa bàn phường; đề xuất giải pháp liên kết giữa các phường trong phát triển du lịch; vai trò của cộng đồng trong phát triển du lịch sinh thái; ứng dụng công nghệ thông tin và chuyển đổi số trong công tác quảng bá du lịch."
"2026","2026-05-22","Trà Vinh","direct_lead","high","title_or_lead","Bình minh Ba Động- Bản giao hưởng ánh sáng của biển miền Tây","https://baovinhlong.com.vn/multimedia/202605/binh-minh-ba-dong-ban-giao-huong-anh-sang-cua-bien-mien-tay-8433735/","Chùm ảnh “Bình minh Ba Động- Bản giao hưởng ánh sáng của biển miền Tây” không chỉ ghi lại vẻ đẹp của thiên nhiên vùng biển Trà Vinh, mà còn góp phần lan tỏa hình ảnh một điểm đến giàu tiềm năng du lịch sinh thái, văn hóa và trải nghiệm."
"2026","2026-05-17","Vĩnh Long","direct_lead","high","title_or_lead","Kỳ 3: Làng nghề “thức giấc” bên những dòng sông","https://baovinhlong.com.vn/van-hoa-giai-tri/202605/khai-mo-tiem-nang-phat-trien-cong-nghiep-van-hoa-ky-3-lang-nghe-thuc-giac-ben-nhung-dong-song-6526ce6/","Một trong những thế mạnh của công nghiệp văn hóa ở Vĩnh Long là du lịch. Theo đó, du lịch bền vững đang là mục tiêu hướng tới không chỉ góp phần phát triển kinh tế mà còn bảo tồn thiên nhiên, văn hóa và đảm bảo sự phát triển lâu dài cho thế hệ tương lai."
