province,match_type,title,url
"Bến Tre","direct_exact","Du lịch Bến Tre phát triển nhanh","https://thvl.vn/du-lich-ben-tre-phat-trien-nhanh.html"
"Bến Tre","related_candidate","Chào buổi sáng (07/12/2020): Tết Nguyên đán Tân Sửu 2021, làng hoa Chợ Lách sẽ đưa ra thị trường khoảng 17 triệu sản phẩm các loại","https://thvl.vn/chao-buoi-sang-07-12-2020-tet-nguyen-dan-tan-suu-2021-lang-hoa-cho-lach-se-dua-ra-thi-truong-khoang-17-trieu-san-pham-cac-loai.html"
"Bến Tre","related_candidate","Kẹo dừa Bến Tre – Bà Hai Tỏ","https://thvl.vn/keo-dua-ben-tre-ba-hai-to.html"
"Bến Tre","related_candidate","Khai mạc Tuần lễ Văn hóa – Ẩm thực “Bến Tre Tết Đoan Ngọ Xứ Dừa”","https://thvl.vn/khai-mac-tuan-le-van-hoa-am-thuc-ben-tre-tet-doan-ngo-xu-dua.html"
"Bến Tre","related_candidate","Ký sự Homestay đồng bằng – Tập 6: Homestay Bến Tre","https://thvl.vn/ky-su-homestay-dong-bang-tap-6-homestay-ben-tre.html"
"Bến Tre","related_candidate","Ký sự truyền hình: Cù lao nước mặn – Tập 4: Trên Cồn Phụng","https://thvl.vn/ky-s%e1%bb%b1-truy%e1%bb%81n-hinh-cu-lao-n%c6%b0%e1%bb%9bc-m%e1%ba%b7n-t%e1%ba%adp-4-tren-c%e1%bb%93n-ph%e1%bb%a5ng.html"
"Bến Tre","related_candidate","Ký sự: Tứ Linh trên sông Tiền – Tập 4: Cồn Phụng","https://thvl.vn/ky-su-tu-linh-tren-song-tien-%e2%80%93-tap-4-con-phung.html"
"Bến Tre","related_candidate","Làng hoa Chợ Lách tất bật chuẩn bị cho thị trường Tết Bính Ngọ 2026","https://thvl.vn/lang-hoa-cho-lach-tat-bat-chuan-bi-cho-thi-truong-tet-binh-ngo-2026.html"
"Bến Tre","related_candidate","Tỉnh Bến Tre tổ chức họp báo công bố sự kiện “Lễ hội dừa Bến Tre lần thứ IV- 2015”","https://thvl.vn/tinh-ben-tre-to-chuc-hop-bao-cong-bo-su-kien-le-hoi-dua-ben-tre-lan-thu-iv-2015.html"
"Bến Tre","related_candidate","Tinh hoa bếp Việt: Củ hũ dừa Bến Tre | Món ngon miền sông nước","https://thvl.vn/tinh-hoa-bep-viet-cu-hu-dua-ben-tre-mon-ngon-mien-song-nuoc.html"
"Trà Vinh","related_candidate","Bếp Việt: Bún nước lèo Trà Vinh","https://thvl.vn/bep-viet-bun-nuoc-leo-tra-vinh.html"
"Trà Vinh","related_candidate","Bếp Việt: Cháo ám Trà Vinh","https://thvl.vn/bep-viet-chao-am-tra-vinh.html"
"Trà Vinh","related_candidate","Biển Ba Động ngày càng hút khách","https://thvl.vn/bien-ba-dong-ngay-cang-hut-khach.html"
"Trà Vinh","related_candidate","Bún nước lèo Trà Vinh","https://thvl.vn/bun-nuoc-leo-tra-vinh.html"
"Trà Vinh","related_candidate","Chào buổi sáng (01/11/2025): Về Ao Bà Om trải nghiệm văn hóa, di sản của đồng bào Khmer","https://thvl.vn/chao-buoi-sang-01-11-2025-ve-ao-ba-om-trai-nghiem-van-hoa-di-san-cua-dong-bao-khmer.html"
"Trà Vinh","related_candidate","Chào buổi sáng (04/01/2026): Bảo tàng Dừa Sáp Trà Vinh – Không gian văn hóa kết nối cộng đồng","https://thvl.vn/chao-buoi-sang-04-01-2026-bao-tang-dua-sap-tra-vinh-khong-gian-van-hoa-ket-noi-cong-dong.html"
"Trà Vinh","related_candidate","Ký sự truyền hình: Miền duyên hải Trà Vinh","https://thvl.vn/ky-su-truyen-hinh-mien-duyen-hai-tra-vinh.html"
"Trà Vinh","related_candidate","Ký sự truyền hình: Thăm lại Trà Vinh – Tập 1: Thành phố xanh","https://thvl.vn/ky-s%e1%bb%b1-truy%e1%bb%81n-hinh-tham-l%e1%ba%a1i-tra-vinh-t%e1%ba%adp-1-thanh-ph%e1%bb%91-xanh.html"
"Trà Vinh","related_candidate","Ký sự truyền hình: Thăm lại Trà Vinh – Tập 2: Về miền Duyên Hải","https://thvl.vn/ky-s%e1%bb%b1-truy%e1%bb%81n-hinh-tham-l%e1%ba%a1i-tra-vinh-t%e1%ba%adp-2-v%e1%bb%81-mi%e1%bb%81n-duyen-h%e1%ba%a3i.html"
"Trà Vinh","related_candidate","Ký sự truyền hình: Về miền duyên hải Trà Vinh","https://thvl.vn/ky-su-truyen-hinh-ve-mien-duyen-hai-tra-vinh.html"
"Trà Vinh","related_candidate","Ký sự: Về miền Duyên Hải Trà Vinh – Tập 1: Làng ven biển Mỹ Long","https://thvl.vn/ky-su-truyen-hinh-ve-mien-duyen-hai-tra-vinh-lang-ven-bien-my-long.html"
"Trà Vinh","related_candidate","Ký sự: Về miền Duyên Hải Trà Vinh – Tập 2: Cồn Nghêu, Cồn Ngao","https://thvl.vn/ky-su-truyen-hinh-ve-mien-duyen-hai-tra-vinh-%e2%80%93-con-ngheu-con-ngao.html"
